STATIONS_ID;MESS_DATUM;QN_9;TT_TU;RF_TU;eor
        433;2014062910;    3;  21.1;  61.0;eor
        433;2014062911;    3;  20.1;  69.0;eor
        433;2014062912;    3;  18.0;  76.0;eor
        433;2014062913;    3;  16.9;  78.0;eor
        433;2014062914;    3;  16.0;  79.0;eor
        433;2014062915;    3;  16.4;  75.0;eor
        433;2015062910;    3;  23.4;  46.0;eor
        433;2015062911;    3;  24.2;  45.0;eor
        433;2015062912;    3;  25.0;  41.0;eor
        433;2015062913;    3;  25.8;  38.0;eor
        433;2015062914;    3;  26.2;  36.0;eor
        433;2015062915;    3;  26.1;  37.0;eor
        433;2016062910;    3;  22.9;  51.0;eor
        433;2016062911;    3;  21.3;  69.0;eor
        433;2016062912;    3;  25.1;  51.0;eor
        433;2016062913;    3;  25.2;  45.0;eor
        433;2016062914;    3;  25.2;  43.0;eor
        433;2016062915;    3;  25.2;  43.0;eor
        433;2017062910;    3;  19.8;  93.0;eor
        433;2017062911;    3;  19.2;  96.0;eor
        433;2017062912;    3;  19.8;  95.0;eor
        433;2017062913;    3;  19.6;  95.0;eor
        433;2017062914;    3;  19.5;  93.0;eor
        433;2017062915;    3;  19.1;  94.0;eor
        433;2018062910;    3;  27.9;  36.0;eor
        433;2018062911;    3;  28.3;  32.0;eor
        433;2018062912;    3;  28.1;  33.0;eor
        433;2018062913;    3;  29.2;  28.0;eor
        433;2018062914;    3;  30.8;  25.0;eor
        433;2018062915;    3;  28.9;  30.0;eor
        433;2019062910;    3;  25.8;  36.0;eor
        433;2019062911;    3;  26.6;  30.0;eor
        433;2019062912;    3;  28.2;  28.0;eor
        433;2019062913;    3;  29.6;  20.0;eor
        433;2019062914;    3;  30.2;  23.0;eor
        433;2019062915;    3;  30.9;  21.0;eor
