STATIONS_ID;MESS_DATUM;QN_8;   P;  P0;eor
        433;2020100212;    1; 1001.9;  996.2;eor
        433;2020100213;    1; 1001.5;  995.8;eor
        433;2020100214;    1; 1001.4;  995.7;eor
        433;2020100215;    1; 1001.1;  995.4;eor
        433;2020100216;    1; 1000.8;  995.1;eor
        433;2020100217;    1; 1001.1;  995.3;eor
        433;2020100218;    1; 1000.8;  995.0;eor
        433;2020100219;    1; 1000.6;  994.8;eor
        433;2020100220;    1; 1000.2;  994.4;eor
        433;2020100221;    1; 1000.0;  994.2;eor
        433;2020100222;    1;  999.4;  993.6;eor
        433;2020100223;    1;  998.9;  993.1;eor
        433;2020100300;    1;  998.4;  992.6;eor
        433;2020100301;    1;  998.1;  992.3;eor
        433;2020100302;    1;  997.6;  991.8;eor
        433;2020100303;    1;  996.8;  991.0;eor
        433;2020100304;    1;  996.6;  990.8;eor
        433;2020100305;    1;  995.9;  990.1;eor
        433;2020100306;    1;  995.7;  989.9;eor
        433;2020100307;    1;  994.9;  989.2;eor
        433;2020100308;    1;  995.2;  989.5;eor
        433;2020100309;    1;  995.0;  989.3;eor
        433;2020100310;    1;  994.0;  988.4;eor
        433;2020100311;    1;  993.2;  987.6;eor
        433;2020100312;    1;  993.1;  987.5;eor
        433;2020100313;    1;  993.0;  987.4;eor
        433;2020100314;    1;  992.4;  986.8;eor
        433;2020100315;    1;  992.3;  986.7;eor
        433;2020100316;    1;  991.8;  986.2;eor
        433;2020100317;    1;  992.3;  986.7;eor
        433;2020100318;    1;  992.5;  986.9;eor
        433;2020100319;    1;  992.7;  987.0;eor
        433;2020100320;    1;  992.7;  987.0;eor
        433;2020100321;    1;  992.6;  986.9;eor
        433;2020100322;    1;  993.7;  988.0;eor
        433;2020100323;    1;  993.9;  988.2;eor
        433;2020100400;    1;  994.7;  989.0;eor
        433;2020100401;    1;  994.0;  988.3;eor
        433;2020100402;    1;  993.6;  987.9;eor
        433;2020100403;    1;  993.6;  987.8;eor
        433;2020100404;    1;  994.2;  988.4;eor
        433;2020100405;    1;  994.6;  988.8;eor
        433;2020100406;    1;  995.5;  989.7;eor
        433;2020100407;    1;  996.2;  990.4;eor
        433;2020100408;    1;  996.8;  991.0;eor
        433;2020100409;    1;  997.2;  991.5;eor
        433;2020100410;    1;  997.2;  991.5;eor
        433;2020100411;    1;  997.6;  991.9;eor
        433;2020100412;    1;  997.9;  992.2;eor
        433;2020100413;    1;  998.9;  993.2;eor
        433;2020100414;    1; 1000.0;  994.3;eor
        433;2020100415;    1; 1001.0;  995.3;eor
        433;2020100416;    1; 1001.9;  996.2;eor
        433;2020100417;    1; 1003.3;  997.5;eor
        433;2020100418;    1; 1003.8;  998.0;eor
        433;2020100419;    1; 1004.2;  998.4;eor
        433;2020100420;    1; 1004.4;  998.6;eor
        433;2020100421;    1; 1004.8;  998.9;eor
        433;2020100422;    1; 1005.2;  999.3;eor
        433;2020100423;    1; 1005.2;  999.3;eor
