STATIONS_ID;MESS_DATUM;QN_9;TT_TU;RF_TU;eor
        433;2020100212;    1;  16.0;  77.0;eor
        433;2020100213;    1;  16.5;  76.0;eor
        433;2020100214;    1;  16.4;  75.0;eor
        433;2020100215;    1;  15.9;  75.0;eor
        433;2020100216;    1;  15.7;  78.0;eor
        433;2020100217;    1;  14.6;  82.0;eor
        433;2020100218;    1;  14.1;  84.0;eor
        433;2020100219;    1;  13.8;  84.0;eor
        433;2020100220;    1;  13.6;  85.0;eor
        433;2020100221;    1;  13.3;  87.0;eor
        433;2020100222;    1;  12.9;  90.0;eor
        433;2020100223;    1;  12.8;  92.0;eor
        433;2020100300;    1;  13.2;  91.0;eor
        433;2020100301;    1;  13.0;  92.0;eor
        433;2020100302;    1;  13.3;  91.0;eor
        433;2020100303;    1;  13.3;  91.0;eor
        433;2020100304;    1;  13.2;  92.0;eor
        433;2020100305;    1;  13.2;  92.0;eor
        433;2020100306;    1;  13.3;  92.0;eor
        433;2020100307;    1;  14.7;  86.0;eor
        433;2020100308;    1;  16.3;  81.0;eor
        433;2020100309;    1;  17.4;  76.0;eor
        433;2020100310;    1;  18.6;  74.0;eor
        433;2020100311;    1;  19.4;  71.0;eor
        433;2020100312;    1;  20.8;  65.0;eor
        433;2020100313;    1;  21.5;  60.0;eor
        433;2020100314;    1;  21.6;  59.0;eor
        433;2020100315;    1;  20.9;  63.0;eor
        433;2020100316;    1;  20.2;  67.0;eor
        433;2020100317;    1;  19.2;  71.0;eor
        433;2020100318;    1;  18.4;  75.0;eor
        433;2020100319;    1;  17.1;  82.0;eor
        433;2020100320;    1;  17.3;  81.0;eor
        433;2020100321;    1;  16.8;  83.0;eor
        433;2020100322;    1;  16.7;  78.0;eor
        433;2020100323;    1;  16.0;  76.0;eor
        433;2020100400;    1;  15.2;  75.0;eor
        433;2020100401;    1;  14.4;  73.0;eor
        433;2020100402;    1;  13.9;  74.0;eor
        433;2020100403;    1;  13.3;  77.0;eor
        433;2020100404;    1;  12.9;  79.0;eor
        433;2020100405;    1;  12.0;  85.0;eor
        433;2020100406;    1;  11.0;  90.0;eor
        433;2020100407;    1;  11.6;  87.0;eor
        433;2020100408;    1;  12.8;  79.0;eor
        433;2020100409;    1;  14.9;  70.0;eor
        433;2020100410;    1;  17.5;  54.0;eor
        433;2020100411;    1;  18.8;  50.0;eor
        433;2020100412;    1;  18.8;  47.0;eor
        433;2020100413;    1;  18.2;  46.0;eor
        433;2020100414;    1;  17.9;  47.0;eor
        433;2020100415;    1;  17.2;  47.0;eor
        433;2020100416;    1;  17.0;  49.0;eor
        433;2020100417;    1;  16.0;  52.0;eor
        433;2020100418;    1;  14.4;  59.0;eor
        433;2020100419;    1;  12.7;  67.0;eor
        433;2020100420;    1;  12.3;  69.0;eor
        433;2020100421;    1;  11.7;  71.0;eor
        433;2020100422;    1;  11.1;  74.0;eor
        433;2020100423;    1;   8.8;  81.0;eor
