STATIONS_ID;MESS_DATUM;QN_3;   F;   D;eor
        433;2020100212;    1;   4.6; 110;eor
        433;2020100213;    1;   5.1; 100;eor
        433;2020100214;    1;   5.8; 100;eor
        433;2020100215;    1;   6.3; 100;eor
        433;2020100216;    1;   6.2;  90;eor
        433;2020100217;    1;   5.8;  90;eor
        433;2020100218;    1;   5.1;  90;eor
        433;2020100219;    1;   5.2;  90;eor
        433;2020100220;    1;   5.2;  90;eor
        433;2020100221;    1;   5.4;  90;eor
        433;2020100222;    1;   6.1;  90;eor
        433;2020100223;    1;   5.9;  80;eor
        433;2020100300;    1;   6.1;  80;eor
        433;2020100301;    1;   5.7;  90;eor
        433;2020100302;    1;   5.5;  80;eor
        433;2020100303;    1;   5.8;  80;eor
        433;2020100304;    1;   5.7;  90;eor
        433;2020100305;    1;   5.8;  90;eor
        433;2020100306;    1;   5.1;  90;eor
        433;2020100307;    1;   5.2;  80;eor
        433;2020100308;    1;   5.3;  90;eor
        433;2020100309;    1;   5.2;  90;eor
        433;2020100310;    1;   5.3;  80;eor
        433;2020100311;    1;   6.1;  80;eor
        433;2020100312;    1;   6.3;  80;eor
        433;2020100313;    1;   6.7; 100;eor
        433;2020100314;    1;   5.7; 110;eor
        433;2020100315;    1;   5.1; 110;eor
        433;2020100316;    1;   4.6; 110;eor
        433;2020100317;    1;   3.5; 110;eor
        433;2020100318;    1;   2.4; 120;eor
        433;2020100319;    1;   1.7; 140;eor
        433;2020100320;    1;   2.2; 150;eor
        433;2020100321;    1;   2.3; 160;eor
        433;2020100322;    1;   3.9; 220;eor
        433;2020100323;    1;   3.6; 240;eor
        433;2020100400;    1;   3.4; 220;eor
        433;2020100401;    1;   3.8; 220;eor
        433;2020100402;    1;   2.3; 230;eor
        433;2020100403;    1;   2.3; 240;eor
        433;2020100404;    1;   1.5; 260;eor
        433;2020100405;    1;   1.1; 200;eor
        433;2020100406;    1;   1.8; 170;eor
        433;2020100407;    1;   1.7; 210;eor
        433;2020100408;    1;   1.8; 200;eor
        433;2020100409;    1;   2.2; 190;eor
        433;2020100410;    1;   2.8; 200;eor
        433;2020100411;    1;   5.1; 220;eor
        433;2020100412;    1;   5.4; 220;eor
        433;2020100413;    1;   6.6; 230;eor
        433;2020100414;    1;   5.1; 230;eor
        433;2020100415;    1;   5.6; 220;eor
        433;2020100416;    1;   3.5; 220;eor
        433;2020100417;    1;   4.0; 230;eor
        433;2020100418;    1;   1.8; 200;eor
        433;2020100419;    1;   1.1; 170;eor
        433;2020100420;    1;   1.8; 160;eor
        433;2020100421;    1;   2.0; 150;eor
        433;2020100422;    1;   2.1; 150;eor
        433;2020100423;    1;   1.7; 130;eor
